"","n_comp","freq","threshold","sd","subj"
"206",3,"6100",1.125,1.09687055,"x34"
"207",3,"300",-12.375,0.80039053,"x34"
"208",1,"300",-18.625,0.71807033,"x34"
"209",9,"300",-6.625,2.23955911,"x34"
"210",5,"300",-13.625,0.5153882,"x34"
"211",9,"300",-6.5,0.8291562,"x34"
"212",5,"6100",1.375,1.00778222,"x34"
"213",5,"300",-5.875,0.71807033,"x34"
"214",3,"6100",-4,0.61237244,"x34"
"215",15,"6100",9.25,0.8660254,"x34"
"216",3,"300",-12.5,1.11803399,"x34"
"217",1,"6100",-5.5,0.75,"x34"
"218",15,"300",-2.875,0.9437293,"x34"
"219",1,"300",-18.5,1.11803399,"x34"
"220",9,"6100",6.875,1.28086885,"x34"
"221",1,"6100",-5.75,1.6583124,"x34"
"222",5,"6100",4,2.47487373,"x34"
"223",5,"300",-10.125,0.80039053,"x34"
"224",3,"300",-14.125,0.375,"x34"
"225",9,"6100",13,0,"x34"
"226",15,"6100",9.375,0.5153882,"x34"
"227",3,"6100",-1.375,0.71807033,"x34"
"228",9,"300",-4.125,2.85317805,"x34"
"229",1,"300",-17.75,0.70710678,"x34"
"230",15,"300",-2.125,1.28086885,"x34"
"231",15,"300",-3.75,1.47901995,"x34"
"232",1,"6100",-9.125,0.5153882,"x34"
"233",3,"300",-11.5,1.78535711,"x34"
"234",9,"6100",13,0,"x34"
"235",3,"6100",0.375,1.39754249,"x34"
"236",15,"6100",13,0,"x34"
"237",9,"300",-9.625,0.71807033,"x34"
"238",5,"6100",5.25,2.01556444,"x34"
"239",5,"300",-10.875,0.5153882,"x34"
"240",1,"300",-12,1.11803399,"x34"
"241",1,"6100",-6.875,0.6731456,"x34"
"242",1,"300",-16.625,2.18303115,"x34"
"243",15,"6100",4.5,2.1937411,"x34"
"244",5,"300",-10,0.96824584,"x34"
"245",3,"6100",3,1.03077641,"x34"
"246",15,"300",-4.875,1.95655948,"x34"
"247",3,"300",-11.125,1.125,"x34"
"248",9,"6100",4.875,2.13965535,"x34"
"249",5,"6100",-0.25,2.59807621,"x34"
"250",9,"300",-6.5,0.70710678,"x34"
"251",1,"300",-12.875,2.34853678,"x34"
"252",5,"300",-8.25,2.58602011,"x34"
"253",3,"300",-14,0.93541435,"x34"
"254",5,"6100",6.875,1.48429276,"x34"
"255",1,"6100",-5.625,0.80039053,"x34"
"256",15,"300",-5.25,1.47901995,"x34"
"257",9,"300",-7.375,0.9437293,"x34"
"258",3,"6100",1.625,2.40117159,"x34"
"259",9,"6100",1.125,2.09538183,"x34"
"260",15,"6100",6.83333333,2.26231199,"x34"
"261",3,"300",-15,1.6583124,"x34"
"262",15,"300",-1.125,1.00778222,"x34"
"263",5,"6100",2.875,0.80039053,"x34"
"264",1,"300",-12.125,0.80039053,"x34"
"265",1,"6100",-8.875,1.66301684,"x34"
"266",9,"6100",13,0,"x34"
"267",9,"300",-7,1.78535711,"x34"
"268",5,"300",-17.25,2.47487373,"x34"
"269",3,"6100",-3.75,1.41421356,"x34"
"270",15,"6100",8.5,1.14564392,"x34"
"271",9,"6100",13,0,"x34"
"272",3,"6100",-0.75,1.03077641,"x34"
"273",3,"300",-14.875,0.375,"x34"
"274",1,"300",-15.25,0.61237244,"x34"
"275",15,"300",-3.375,0.5153882,"x34"
"276",1,"6100",-8.5,1.06066017,"x34"
"277",5,"6100",6.25,1.19895788,"x34"
"278",9,"300",-11,0.70710678,"x34"
"279",15,"6100",13,0,"x34"
"280",5,"300",-20.75,0.93541435,"x34"
