"","freq","threshold","sd","NA","subj"
"166",9909,39.83333333,1.06718737,NA,"x28"
"167",487,43.66666667,0.74535599,NA,"x28"
"168",300,41.5,1.25830574,NA,"x28"
"169",487,39.5,1.11803399,NA,"x29"
"170",9909,39.66666667,1.24721913,NA,"x29"
"171",6100,40.16666667,1.06718737,NA,"x29"
"172",798,40.83333333,1.06718737,NA,"x29"
"173",300,41.16666667,1.34370962,NA,"x29"
"174",16100,40.16666667,1.06718737,NA,"x29"
"175",798,42.16666667,2.11476292,NA,"x29"
"176",6100,38.66666667,1.59861051,NA,"x29"
"177",487,40.83333333,1.06718737,NA,"x29"
"178",300,38.66666667,1.24721913,NA,"x29"
"179",16100,40.66666667,1.37436854,NA,"x29"
"180",9909,36.5,0.5,NA,"x29"
