Column1,n_comp,freq,threshold,sd,subj,task,run
892,1,High,-3.125,0.80039053,x51,Control,2
901,1,High,-9.125,1.32876823,x51,Control,3
915,1,High,-7.375,0.375,x51,Control,4
921,1,High,-6.875,0.6731456,x51,Control,5
932,1,High,-9.75,1.41421356,x51,Control,6
943,1,High,-3.125,0.5153882,x51,Control,7
958,1,High,-6.625,1.875,x51,Control,8
964,1,High,-5.5,1.29903811,x51,Control,9
978,1,High,-2.5,1.93649167,x51,Control,10
989,1,High,-7.625,1.00778222,x51,Control,11
995,1,High,-2.625,1.70018381,x51,Control,12
1003,1,Low,-9.125,2.00390244,x52,Control,1
1011,1,Low,-13.0,0.96824584,x52,Control,2
1021,1,Low,-11.0,0.93541435,x52,Control,3
1040,1,Low,-13.375,0.71807033,x52,Control,4
1046,1,Low,-13.75,2.20794022,x52,Control,5
1053,1,Low,-19.375,0.375,x52,Control,6
1070,1,Low,-8.875,0.375,x52,Control,7
1075,1,Low,-10.875,0.80039053,x52,Control,8
1082,1,Low,-13.625,1.25623445,x52,Control,9
1100,1,Low,-13.375,2.47802845,x52,Control,10
1109,1,Low,-16.625,2.18303115,x52,Control,11
1111,1,Low,-12.75,0.70710678,x52,Control,12
1006,1,High,-1.0,0.96824584,x52,Control,1
1016,1,High,-5.25,2.43669859,x52,Control,2
1022,1,High,-1.5,2.10653744,x52,Control,3
1035,1,High,-5.875,1.41972709,x52,Control,4
1044,1,High,-2.375,0.91001374,x52,Control,5
1056,1,High,-0.75,1.47901995,x52,Control,6
1067,1,High,4.125,0.80039053,x52,Control,7
1078,1,High,-2.75,0.70710678,x52,Control,8
1090,1,High,-7.25,1.92028644,x52,Control,9
1097,1,High,-6.125,1.17924764,x52,Control,10
1106,1,High,-3.375,0.80039053,x52,Control,11
1118,1,High,-2.25,1.11803399,x52,Control,12
1122,1,Low,-11.0,0.70710678,x53,Control,1
1136,1,Low,-11.25,0.55901699,x53,Control,2
1148,1,Low,-9.125,0.80039053,x53,Control,3
1153,1,Low,-11.75,0.55901699,x53,Control,4
1166,1,Low,-9.0,0.55901699,x53,Control,5
1180,1,Low,-11.875,1.125,x53,Control,6
1183,1,Low,-14.375,1.80710404,x53,Control,7
1195,1,Low,-6.625,1.875,x53,Control,8
1204,1,Low,-5.875,0.9437293,x53,Control,9
1217,1,Low,-11.25,1.71391365,x53,Control,10
1226,1,Low,-8.375,2.34853678,x53,Control,11
1237,1,Low,-9.75,2.27760839,x53,Control,12
1128,1,High,-0.625,0.9437293,x53,Control,1
1134,1,High,5.375,0.9437293,x53,Control,2
1146,1,High,-0.875,3.68485074,x53,Control,3
1155,1,High,-3.625,2.11024288,x53,Control,4
1161,1,High,7.5,0.8291562,x53,Control,5
1171,1,High,-2.625,1.09687055,x53,Control,6
1181,1,High,-4.0,1.29903811,x53,Control,7
1199,1,High,3.125,1.48429276,x53,Control,8
1203,1,High,-2.25,2.31840462,x53,Control,9
1220,1,High,-9.125,1.17924764,x53,Control,10
1228,1,High,-6.625,0.71807033,x53,Control,11
1238,1,High,-1.75,2.52487623,x53,Control,12
1248,1,Low,-8.625,1.25623445,x54,Control,1
1260,1,Low,-3.125,1.80710404,x54,Control,2
1269,1,Low,-6.75,0.8291562,x54,Control,3
1272,1,Low,-0.25,0.96824584,x54,Control,4
1285,1,Low,-9.125,2.34853678,x54,Control,5
1295,1,Low,-16.375,0.71807033,x54,Control,6
1301,1,Low,-11.25,0.8291562,x54,Control,7
1319,1,Low,-12.75,2.54950976,x54,Control,8
1325,1,Low,-15.5,1.11803399,x54,Control,9
1333,1,Low,-12.625,0.71807033,x54,Control,10
1341,1,Low,-14.625,2.00390244,x54,Control,11
1360,1,Low,-18.75,1.60078106,x54,Control,12
1245,1,High,-0.25,1.62018517,x54,Control,1
1256,1,High,-2.25,1.47901995,x54,Control,2
1267,1,High,-7.5,0.70710678,x54,Control,3
1273,1,High,-6.75,0.8291562,x54,Control,4
1287,1,High,-7.375,1.28086885,x54,Control,5
1297,1,High,-0.375,1.09687055,x54,Control,6
1304,1,High,0.625,1.80710404,x54,Control,7
1311,1,High,-7.25,2.35849528,x54,Control,8
1330,1,High,-5.0,2.06155281,x54,Control,9
1336,1,High,-7.375,1.66301684,x54,Control,10
1350,1,High,-2.75,1.19895788,x54,Control,11
1354,1,High,-7.0,1.22474487,x54,Control,12
48,3,Low,-2.75,1.03077641,x32,Control,1
56,3,Low,-4.5,3.14245127,x32,Control,2
64,3,Low,-5.375,2.00390244,x32,Control,3
75,3,Low,-7.0,2.07665597,x32,Control,4
88,3,Low,-5.625,0.91001374,x32,Control,5
