"","freq","threshold","sd","subj","task"
"177","High",-2.66666667,2.74873708,"x06","Task"
"178","Low",-1.33333333,1.49071198,"x06","Task"
"179","High",0,0,"x06","Task"
"180","High",0,0,"x06","Task"
"181","Low",-6.66666667,3.39934634,"x06","Task"
"182","Low",-1.33333333,1.49071198,"x07","Task"
"183","High",0,0,"x07","Task"
"184","High",0,0,"x07","Task"
"185","Low",-9,2.23606798,"x07","Task"
"186","High",0,0,"x07","Task"
"187","Low",-7.33333333,1.49071198,"x07","Task"
"188","Low",-5.66666667,3.14466038,"x07","Task"
"189","High",-1.33333333,1.49071198,"x07","Task"
"190","Low",-3.33333333,2.49443826,"x07","Task"
"191","High",-1.33333333,1.49071198,"x07","Task"
"192","Low",-5.33333333,3.19722102,"x07","Task"
"193","High",0,0,"x07","Task"
"194","High",-14.33333333,2.13437475,"x08","Task"
"195","Low",-14,2,"x08","Task"
"196","Low",-11.33333333,2.98142397,"x08","Task"
"197","High",-11,2.76887462,"x08","Task"
"198","High",-6.66666667,1.49071198,"x08","Task"
"199","Low",-9.33333333,2.21108319,"x08","Task"
"200","Low",-10,3.82970843,"x08","Task"
"201","High",-9,1,"x08","Task"
"202","Low",-12,1.63299316,"x08","Task"
"203","High",-12,1.63299316,"x08","Task"
"204","High",-8.33333333,2.13437475,"x08","Task"
"205","Low",-12,2,"x08","Task"
"206","Low",-14,1.63299316,"x09","Task"
"207","High",-12.66666667,2.98142397,"x09","Task"
"208","Low",-13.66666667,2.68741925,"x09","Task"
"209","High",-10,2.82842712,"x09","Task"
"210","Low",-10.66666667,2.21108319,"x09","Task"
"211","High",-7.66666667,3.34995854,"x09","Task"
"212","Low",-13,1,"x09","Task"
"213","High",-8.66666667,1.49071198,"x09","Task"
"214","Low",-10.33333333,2.68741925,"x09","Task"
"215","High",-5.33333333,3.19722102,"x09","Task"
"216","High",-8.66666667,3.39934634,"x09","Task"
"217","Low",-11.33333333,1.49071198,"x09","Task"
"218","High",-16.33333333,1.37436854,"x10","Task"
"219","Low",-15.66666667,1.79505494,"x10","Task"
"220","Low",-16.66666667,1.49071198,"x10","Task"
"221","High",-17.66666667,2.13437475,"x10","Task"
"222","Low",-15.33333333,2.21108319,"x10","Task"
"223","High",-14,2.30940108,"x10","Task"
"224","Low",-15.33333333,1.49071198,"x10","Task"
"225","High",-16.33333333,2.13437475,"x10","Task"
"226","High",-14.66666667,1.49071198,"x10","Task"
"227","Low",-15.66666667,1.79505494,"x10","Task"
"228","Low",-13,1.91485422,"x10","Task"
"229","High",-13.66666667,1.79505494,"x10","Task"
"230","High",0,0,"x11","Task"
"231","Low",0,0,"x11","Task"
"232","High",0,0,"x11","Task"
"233","Low",0,0,"x11","Task"
"234","Low",-8.33333333,4.22952585,"x11","Task"
"235","High",0,0,"x11","Task"
"236","Low",0,0,"x11","Task"
"237","High",-1,1,"x11","Task"
"238","High",0,0,"x11","Task"
"239","Low",0,0,"x11","Task"
"240","High",-1.33333333,1.49071198,"x11","Task"
"241","Low",0,0,"x11","Task"
"242","Low",-10,2,"x15","Task"
"243","High",-14.33333333,2.68741925,"x15","Task"
"244","Low",-15.33333333,1.49071198,"x15","Task"
"245","High",-17,3,"x15","Task"
"246","Low",-9.66666667,4.8189441,"x15","Task"
"247","High",-16.33333333,2.13437475,"x15","Task"
"248","High",-17.66666667,2.13437475,"x15","Task"
"249","Low",-14.66666667,1.49071198,"x15","Task"
"250","Low",-14.33333333,1.37436854,"x15","Task"
"251","High",-13.33333333,2.21108319,"x15","Task"
"252","Low",-14.33333333,2.13437475,"x15","Task"
"253","High",-16.66666667,1.49071198,"x15","Task"
"254","High",-21.33333333,1.49071198,"x20","Task"
"255","Low",-20,1.63299316,"x20","Task"
"256","High",-20,1.63299316,"x20","Task"
"257","Low",-17.33333333,1.49071198,"x20","Task"
"258","Low",-18.66666667,1.49071198,"x20","Task"
"259","High",-21,1.91485422,"x20","Task"
"260","Low",-18,1.63299316,"x20","Task"
"261","High",-19.33333333,1.49071198,"x20","Task"
"262","Low",-19.33333333,1.49071198,"x20","Task"
"263","High",-20.66666667,1.49071198,"x20","Task"
"264","Low",-18.33333333,1.79505494,"x20","Task"
"265","High",-17,1,"x20","Task"
"266","High",0,0,"x23","Task"
"267","Low",0,0,"x23","Task"
"268","High",0,0,"x23","Task"
"269","Low",0,0,"x23","Task"
"270","High",0,0,"x23","Task"
"271","Low",0,0,"x23","Task"
"272","High",0,0,"x23","Task"
"273","Low",0,0,"x23","Task"
"274","High",-2.33333333,1.79505494,"x23","Task"
"275","Low",0,0,"x23","Task"
"276","High",0,0,"x23","Task"
"277","Low",0,0,"x23","Task"
"278","High",-17.33333333,1.49071198,"x27","Task"
"279","Low",-17,2.23606798,"x27","Task"
"280","High",-16.66666667,1.49071198,"x27","Task"
"281","Low",-17,1,"x27","Task"
"282","Low",-15.66666667,1.79505494,"x27","Task"
"283","High",-15,1.91485422,"x27","Task"
"284","Low",-16,1.63299316,"x27","Task"
"285","High",-15.33333333,1.49071198,"x27","Task"
"286","High",-14.66666667,2.21108319,"x27","Task"
"287","Low",-16.66666667,1.88561808,"x27","Task"
"288","Low",-17,1,"x27","Task"
"289","High",-15.33333333,1.49071198,"x27","Task"
