"","n_comp","freq","threshold","sd","subj","task"
"287",5,"Low",3.25,0.96824584,"x40","Task"
"288",3,"High",0.625,2.7866871,"x40","Task"
"289",15,"Low",-3.125,4.92601512,"x40","Task"
"290",3,"Low",1,0.8291562,"x40","Task"
"291",9,"Low",-5.875,0.375,"x40","Task"
"292",9,"High",13,0,"x40","Task"
"293",3,"High",1.375,1.85825859,"x40","Task"
"294",9,"High",13,0,"x40","Task"
"295",5,"Low",-0.625,1.32876823,"x40","Task"
"296",9,"Low",-5.5,0.75,"x40","Task"
"297",5,"High",13,0,"x40","Task"
"298",15,"High",13,0,"x40","Task"
"299",15,"Low",-5,1.5411035,"x40","Task"
"300",3,"Low",13,0,"x40","Task"
"301",15,"High",13,0,"x40","Task"
"302",9,"Low",-6.375,1.46308749,"x40","Task"
"303",15,"Low",-5.625,1.17924764,"x40","Task"
"304",9,"High",13,0,"x40","Task"
"305",3,"Low",3.625,1.125,"x40","Task"
"306",5,"Low",0.625,2.09538183,"x40","Task"
"307",5,"High",4.45833333,6.15666419,"x40","Task"
"308",3,"High",13,0,"x40","Task"
"309",9,"High",1.125,2.7185704,"x40","Task"
"310",3,"Low",13,0,"x40","Task"
"311",15,"High",13,0,"x40","Task"
"312",3,"High",8.375,1.125,"x40","Task"
"313",5,"Low",-0.875,1.00778222,"x40","Task"
"314",5,"High",13,0,"x40","Task"
"315",9,"Low",-8.125,1.03832798,"x40","Task"
"316",15,"Low",-6.625,0.375,"x40","Task"
"317",9,"High",13,0,"x40","Task"
"318",3,"Low",-1.75,1.14564392,"x40","Task"
"319",15,"Low",-5.375,0.6731456,"x40","Task"
"320",15,"High",-2.41666667,5.72579446,"x40","Task"
"321",5,"High",13,0,"x40","Task"
"322",5,"Low",-2.375,2.09538183,"x40","Task"
"323",3,"High",-0.125,1.46308749,"x40","Task"
"324",9,"Low",-8.875,1.66301684,"x40","Task"
"325",5,"High",0.75,2.76134025,"x40","Task"
"326",3,"Low",2.375,1.875,"x40","Task"
"327",3,"High",8.625,0.875,"x40","Task"
"328",9,"High",13,0,"x40","Task"
"329",5,"Low",-4.75,1.29903811,"x40","Task"
"330",15,"Low",-5.25,1.92028644,"x40","Task"
"331",15,"High",13,0,"x40","Task"
"332",9,"Low",-10.75,0.75,"x40","Task"
"333",3,"Low",-0.125,4.04853369,"x40","Task"
"334",9,"High",13,0,"x40","Task"
"335",3,"High",13,0,"x40","Task"
"336",15,"Low",-4.375,2.15421099,"x40","Task"
"337",5,"Low",-6.875,0.6731456,"x40","Task"
"338",5,"High",13,0,"x40","Task"
"339",15,"High",13,0,"x40","Task"
"340",9,"Low",-10,0.96824584,"x40","Task"
"341",5,"Low",-3.125,1.00778222,"x40","Task"
"342",5,"High",13,0,"x40","Task"
"343",3,"High",13,0,"x40","Task"
"344",15,"High",13,0,"x40","Task"
"345",9,"Low",-10.875,0.5153882,"x40","Task"
"346",3,"Low",0.125,0.9437293,"x40","Task"
"347",15,"Low",-5.875,0.375,"x40","Task"
"348",9,"High",13,0,"x40","Task"
"349",3,"Low",1.125,1.90804219,"x45","Task"
"350",9,"Low",-6.25,1.43614066,"x45","Task"
"351",15,"High",-2.125,1.60565407,"x45","Task"
"352",3,"High",13,0,"x45","Task"
"353",5,"High",13,0,"x45","Task"
"354",9,"High",13,0,"x45","Task"
"355",15,"Low",-6.5,0.8291562,"x45","Task"
"356",5,"Low",2.625,0.80039053,"x45","Task"
"357",5,"Low",-2,1.27475488,"x45","Task"
"358",3,"High",13,0,"x45","Task"
"359",15,"High",13,0,"x45","Task"
"360",9,"High",2.625,1.00778222,"x45","Task"
"361",15,"Low",-6.125,1.00778222,"x45","Task"
"362",5,"High",7.75,2.54950976,"x45","Task"
"363",3,"Low",-1.5,1.71391365,"x45","Task"
"364",9,"Low",-7.125,0.80039053,"x45","Task"
"365",5,"Low",-1,0.8660254,"x45","Task"
"366",9,"High",13,0,"x45","Task"
"367",9,"Low",-7.625,1.75445861,"x45","Task"
"368",5,"High",13,0,"x45","Task"
"369",15,"Low",-5.875,0.71807033,"x45","Task"
"370",3,"Low",-1.875,0.5153882,"x45","Task"
"371",3,"High",13,0,"x45","Task"
"372",15,"High",13,0,"x45","Task"
"373",3,"Low",-5.375,1.95655948,"x45","Task"
"374",9,"High",13,0,"x45","Task"
"375",15,"Low",-4.5,0.55901699,"x45","Task"
