"","n_comp","freq","threshold","sd","subj"
"485",3,"300",-9,0.93541435,"x46"
"486",9,"6100",13,0,"x46"
"487",5,"6100",13,0,"x46"
"488",3,"6100",6,3.28823661,"x46"
"489",5,"300",-8.5,0.61237244,"x46"
"490",3,"6100",13,0,"x49"
"491",15,"300",7.625,1.875,"x49"
"492",5,"6100",13,0,"x49"
"493",15,"6100",13,0,"x49"
"494",9,"300",4.875,0.5153882,"x49"
"495",3,"300",6.875,1.70018381,"x49"
"496",5,"300",-2.5,0.8660254,"x49"
"497",9,"6100",13,0,"x49"
"498",15,"300",1,3.79143772,"x49"
"499",9,"6100",13,0,"x49"
"500",5,"6100",13,0,"x49"
"501",9,"300",-3.25,1.62018517,"x49"
"502",3,"6100",13,0,"x49"
"503",3,"300",-1.625,0.80039053,"x49"
"504",15,"6100",13,0,"x49"
"505",5,"300",-3.5,1.11803399,"x49"
"506",9,"6100",13,0,"x49"
"507",3,"6100",13,0,"x49"
"508",5,"6100",13,0,"x49"
"509",15,"300",-4.875,3.16474723,"x49"
"510",3,"300",0.875,1.60565407,"x49"
"511",5,"300",4.125,0.5153882,"x49"
"512",9,"300",-1.125,1.95655948,"x49"
"513",15,"6100",13,0,"x49"
"514",9,"300",-4,1.5612495,"x49"
"515",15,"300",-6.75,2.23606798,"x49"
"516",15,"6100",13,0,"x49"
"517",3,"300",-5.875,0.71807033,"x49"
"518",9,"6100",2.95833333,5.32958853,"x49"
"519",5,"6100",13,0,"x49"
"520",5,"300",0.125,2.23955911,"x49"
"521",3,"6100",13,0,"x49"
"522",5,"6100",13,0,"x49"
"523",9,"300",0.625,0.80039053,"x49"
"524",3,"300",-3.5,1.3462912,"x49"
"525",15,"300",0,5.20816666,"x49"
"526",9,"6100",13,0,"x49"
"527",5,"300",-5.875,1.28086885,"x49"
"528",3,"6100",0.625,7.66587405,"x49"
"529",15,"6100",13,0,"x49"
"530",3,"300",-5.875,0.375,"x49"
"531",15,"300",-2,1.60078106,"x49"
"532",5,"6100",13,0,"x49"
"533",5,"300",-3.25,1.83711731,"x49"
"534",3,"6100",1.75,3.61420807,"x49"
"535",9,"6100",13,0,"x49"
"536",9,"300",-5.625,1.80710404,"x49"
"537",15,"6100",13,0,"x49"
"538",3,"6100",13,0,"x49"
"539",9,"6100",13,0,"x49"
"540",15,"300",0,0.55901699,"x49"
"541",15,"6100",13,0,"x49"
"542",9,"300",-4.125,0.80039053,"x49"
"543",5,"6100",13,0,"x49"
"544",3,"300",-2.5,1.5612495,"x49"
"545",5,"300",-4.75,1.14564392,"x49"
"546",15,"6100",13,0,"x49"
"547",9,"6100",13,0,"x49"
"548",5,"300",-5.125,1.03832798,"x49"
"549",5,"6100",13,0,"x49"
"550",9,"300",-6.375,0.80039053,"x49"
"551",3,"300",-2.5,1.06066017,"x49"
"552",15,"300",-2.5,1.93649167,"x49"
"553",3,"6100",13,0,"x49"
"554",5,"6100",4.70833333,2.4213317,"x49"
"555",3,"6100",13,0,"x49"
"556",15,"300",-1.25,0.93541435,"x49"
"557",3,"300",-3,1.11803399,"x49"
"558",15,"6100",13,0,"x49"
"559",9,"6100",6.375,3.44827856,"x49"
"560",9,"300",4.125,0.80039053,"x49"
"561",5,"300",7.625,1.28086885,"x49"
"562",15,"6100",3.625,1.32876823,"x49"
"563",3,"300",-2.125,0.9437293,"x49"
"564",9,"300",-0.625,0.375,"x49"
"565",3,"6100",13,0,"x49"
"566",5,"300",-4.25,1.11803399,"x49"
"567",9,"6100",13,0,"x49"
"568",15,"300",-8.25,2.54950976,"x49"
"569",5,"6100",13,0,"x49"
"570",9,"6100",13,0,"x49"
"571",15,"6100",13,0,"x49"
"572",9,"300",-5.375,0.80039053,"x49"
"573",3,"300",-5.875,0.375,"x49"
"574",5,"300",-6.25,1.22474487,"x49"
"575",15,"300",-2.375,1.39754249,"x49"
"576",5,"6100",13,0,"x49"
"577",3,"6100",13,0,"x49"
"578",5,"300",-11,1.11803399,"x49"
"579",3,"6100",13,0,"x49"
"580",3,"300",-10.125,0.80039053,"x49"
"581",15,"300",-3.375,0.5153882,"x49"
"582",5,"6100",13,0,"x49"
"583",9,"300",-8.75,0.8291562,"x49"
"584",15,"6100",13,0,"x49"
"585",9,"6100",13,0,"x49"
"586",5,"300",6.875,2.18303115,"x50"
"587",15,"6100",13,0,"x50"
"588",3,"6100",13,0,"x50"
"589",5,"6100",13,0,"x50"
"590",9,"300",-0.5,0.70710678,"x50"
"591",15,"300",4.75,1.60078106,"x50"
"592",3,"300",8.58333333,1.41911553,"x50"
"593",9,"6100",13,0,"x50"
"594",15,"300",-0.875,0.80039053,"x50"
"595",15,"6100",6.875,3.2040014,"x50"
"596",3,"300",4.875,1.46308749,"x50"
"597",5,"6100",13,0,"x50"
"598",9,"300",-8.125,0.9437293,"x50"
"599",9,"6100",13,0,"x50"
"600",5,"300",4.5,0.93541435,"x50"
"601",3,"6100",13,0,"x50"
"602",3,"6100",13,0,"x50"
"603",5,"300",-3.875,1.58607219,"x50"
"604",9,"300",1,1.11803399,"x50"
"605",15,"6100",13,0,"x50"
"606",15,"300",9.20833333,0.48769583,"x50"
"607",5,"6100",13,0,"x50"
"608",3,"300",7.375,1.90804219,"x50"
"609",9,"6100",13,0,"x50"
"610",3,"300",-0.375,2.98171511,"x50"
"611",3,"6100",13,0,"x50"
"612",9,"6100",13,0,"x50"
"613",15,"6100",13,0,"x50"
"614",9,"300",3.75,1.47901995,"x50"
"615",5,"6100",5,3.72491611,"x50"
"616",5,"300",0,2.51246891,"x50"
"617",15,"300",9.375,0.5153882,"x50"
"618",5,"6100",13,0,"x50"
"619",15,"300",0.125,0.375,"x50"
"620",9,"300",7.875,0.80039053,"x50"
"621",5,"300",3.875,1.28086885,"x50"
"622",3,"6100",13,0,"x50"
"623",15,"6100",13,0,"x50"
"624",9,"6100",13,0,"x50"
"625",3,"300",6.125,1.41972709,"x50"
"626",9,"6100",13,0,"x50"
"627",9,"300",-4.75,1.43614066,"x50"
"628",5,"6100",13,0,"x50"
"629",3,"300",5.125,1.70018381,"x50"
"630",3,"6100",13,0,"x50"
"631",5,"300",-3.5,1.03077641,"x50"
"632",15,"6100",13,0,"x50"
"633",15,"300",3.375,1.46308749,"x50"
"634",9,"6100",13,0,"x50"
"635",3,"6100",3.625,6.23623484,"x50"
"636",9,"300",-1.875,2.34853678,"x50"
"637",5,"6100",13,0,"x50"
"638",5,"300",-2.125,0.9437293,"x50"
"639",3,"300",6.25,1.36930639,"x50"
"640",15,"300",-2.125,1.125,"x50"
"641",15,"6100",13,0,"x50"
"642",5,"6100",13,0,"x50"
"643",3,"300",3.75,1.19895788,"x50"
"644",3,"6100",13,0,"x50"
"645",9,"300",-8.375,0.6731456,"x50"
"646",15,"6100",8.875,1.00778222,"x50"
"647",5,"300",-2.625,1.00778222,"x50"
"648",15,"300",-2.25,0.70710678,"x50"
"649",9,"6100",13,0,"x50"
"650",15,"300",-3.125,0.5153882,"x50"
"651",5,"300",0.5,0.8660254,"x50"
