"","freq","threshold","sd","subj"
"249",1,-3,2.51661148,"x38"
"250",2,0,0,"x38"
"251",1,-1,1,"x38"
"252",2,0,0,"x38"
"253",2,0,0,"x39"
"254",1,-9.33333333,2.49443826,"x39"
"255",2,-1.33333333,1.49071198,"x39"
"256",1,-1.66666667,2.13437475,"x39"
"257",1,-5.33333333,3.39934634,"x39"
"258",2,0,0,"x39"
"259",2,0,0,"x39"
"260",1,-6.66666667,3.94405319,"x39"
"261",2,0,0,"x39"
"262",1,-9.33333333,2.21108319,"x39"
"263",1,-3.66666667,2.13437475,"x39"
"264",2,0,0,"x39"
"265",1,-6.33333333,3.34995854,"x41"
"266",2,0,0,"x41"
"267",1,-2.66666667,1.49071198,"x41"
"268",2,0,0,"x41"
"269",2,0,0,"x41"
"270",1,-3.33333333,1.49071198,"x41"
"271",2,-2.66666667,2.49443826,"x41"
"272",1,-7.33333333,2.21108319,"x41"
"273",1,-7.33333333,2.98142397,"x41"
"274",2,-1.66666667,1.79505494,"x41"
"275",2,0,0,"x41"
"276",1,-5.33333333,2.49443826,"x41"
"277",2,0,0,"x43"
"278",1,0,0,"x43"
"279",1,0,0,"x43"
"280",2,0,0,"x43"
"281",2,0,0,"x43"
"282",1,0,0,"x43"
"283",2,0,0,"x43"
"284",1,0,0,"x43"
"285",2,0,0,"x43"
"286",1,0,0,"x43"
"287",1,0,0,"x43"
"288",2,0,0,"x43"
"289",1,-14.66666667,2.21108319,"x99"
"290",2,-8.33333333,2.13437475,"x99"
"291",1,-17,1,"x99"
