"","freq","threshold","sd","subj","task"
"195","High",-3.66666667,2.13437475,"x34","Control"
"196","Low",-7.66666667,3.90156664,"x34","Control"
"197","High",-4.33333333,2.4267033,"x34","Control"
"198","Low",-6.33333333,2.13437475,"x34","Control"
"199","High",-6.33333333,3.14466038,"x34","Control"
"200","Low",-9.33333333,3.19722102,"x34","Control"
"201","High",-2.66666667,2.21108319,"x34","Control"
"202","Low",-9.33333333,2.49443826,"x34","Control"
"203","Low",-10,1.63299316,"x34","Control"
"204","High",-2,2.82842712,"x34","Control"
"205","Low",-12,2,"x35","Control"
"206","High",-12.66666667,2.74873708,"x35","Control"
"207","High",-12.66666667,1.49071198,"x35","Control"
"208","Low",-13,2.76887462,"x35","Control"
"209","High",-12.66666667,1.49071198,"x35","Control"
"210","Low",-13.66666667,2.13437475,"x35","Control"
"211","Low",-12,1.63299316,"x35","Control"
"212","High",-13,1,"x35","Control"
"213","Low",-11.33333333,1.49071198,"x35","Control"
"214","High",-14.33333333,2.13437475,"x35","Control"
"215","Low",-14,2.30940108,"x35","Control"
"216","High",-13.33333333,2.21108319,"x35","Control"
"217","Low",-11.66666667,2.92498813,"x36","Control"
"218","High",-11,1.91485422,"x36","Control"
"219","High",-11,1.91485422,"x36","Control"
"220","Low",-11.66666667,1.79505494,"x36","Control"
"221","Low",-12.66666667,1.49071198,"x36","Control"
"222","High",-14.66666667,1.49071198,"x36","Control"
"223","Low",-13.33333333,1.49071198,"x36","Control"
"224","High",-16.33333333,2.13437475,"x36","Control"
"225","Low",-13.33333333,2.98142397,"x36","Control"
"226","High",-13,3,"x36","Control"
"227","High",-13.33333333,1.49071198,"x36","Control"
"228","Low",-13.66666667,1.79505494,"x36","Control"
"229","Low",-9.66666667,2.13437475,"x37","Control"
"230","High",-8.66666667,3.59010987,"x37","Control"
"231","High",-6.33333333,5.70574759,"x37","Control"
"232","Low",-6,3.46410162,"x37","Control"
"233","Low",-9.66666667,1.79505494,"x37","Control"
"234","High",-11,1.91485422,"x37","Control"
"235","High",-10,1.63299316,"x37","Control"
"236","Low",-6.66666667,3.19722102,"x37","Control"
"237","Low",-10.33333333,1.79505494,"x37","Control"
"238","High",-14.33333333,3.14466038,"x37","Control"
"239","High",-10,3.65148372,"x37","Control"
"240","Low",-3.66666667,2.13437475,"x37","Control"
"241","High",-13.33333333,4.42216639,"x38","Control"
"242","Low",-13,1.91485422,"x38","Control"
"243","High",-13.66666667,1.79505494,"x38","Control"
