Column1,n_comp,freq,threshold,sd,subj,task,run
850,5,Low,-0.75,0.70710678,x50,Control,9
856,5,Low,-9.375,0.80039053,x50,Control,10
862,5,Low,-7.25,1.60078106,x50,Control,11
871,5,Low,-2.125,2.23955911,x50,Control,12
827,5,High,1.0,2.65753645,x50,Control,7
831,5,High,-1.375,1.66301684,x50,Control,8
846,5,High,3.875,2.96067982,x50,Control,9
858,5,High,9.5,0.55901699,x50,Control,10
866,5,High,-0.5,0.93541435,x50,Control,11
874,5,High,13.0,0.0,x50,Control,12
946,5,Low,-9.625,1.125,x51,Control,7
952,5,Low,-0.5,0.70710678,x51,Control,8
970,5,Low,-3.375,0.80039053,x51,Control,9
976,5,Low,-4.5,0.55901699,x51,Control,10
981,5,Low,-4.5,0.8291562,x51,Control,11
997,5,Low,-4.5,1.19895788,x51,Control,12
942,5,High,-6.75,0.93541435,x51,Control,7
959,5,High,2.125,1.52581945,x51,Control,8
963,5,High,-4.25,0.8291562,x51,Control,9
975,5,High,-2.25,1.82002747,x51,Control,10
982,5,High,1.875,0.80039053,x51,Control,11
994,5,High,-0.25,1.22474487,x51,Control,12
1061,5,Low,-5.125,1.28086885,x52,Control,7
1074,5,Low,-8.75,1.27475488,x52,Control,8
1088,5,Low,-10.5,0.55901699,x52,Control,9
1096,5,Low,-11.0,1.71391365,x52,Control,10
1105,5,Low,-8.875,1.66301684,x52,Control,11
1120,5,Low,-12.125,1.00778222,x52,Control,12
1064,5,High,13.0,0.0,x52,Control,7
1073,5,High,-8.5,0.96824584,x52,Control,8
1086,5,High,2.5,0.8291562,x52,Control,9
1094,5,High,8.125,1.00778222,x52,Control,10
1110,5,High,1.625,1.97246673,x52,Control,11
1113,5,High,-0.625,0.71807033,x52,Control,12
1185,5,Low,-9.25,2.52487623,x53,Control,7
1196,5,Low,-6.5,1.87082869,x53,Control,8
1210,5,Low,-7.125,0.5153882,x53,Control,9
1215,5,Low,-7.0,3.15238005,x53,Control,10
1230,5,Low,-3.375,1.25623445,x53,Control,11
1232,5,Low,-1.5,2.23606798,x53,Control,12
1186,5,High,-1.25,0.55901699,x53,Control,7
1194,5,High,13.0,0.0,x53,Control,8
1201,5,High,9.54166667,0.48769583,x53,Control,9
1214,5,High,8.29166667,1.04499468,x53,Control,10
1223,5,High,3.0,2.06155281,x53,Control,11
1235,5,High,8.0,0.75,x53,Control,12
1305,5,Low,-8.875,0.71807033,x54,Control,7
1315,5,Low,-9.0,1.27475488,x54,Control,8
1329,5,Low,-14.0,1.5411035,x54,Control,9
1339,5,Low,-14.875,0.9437293,x54,Control,10
1349,5,Low,-17.375,1.00778222,x54,Control,11
1357,5,Low,-12.375,0.80039053,x54,Control,12
1302,5,High,5.625,1.32876823,x54,Control,7
1314,5,High,-1.75,2.56173769,x54,Control,8
1324,5,High,9.375,0.80039053,x54,Control,9
1332,5,High,13.0,0.0,x54,Control,10
1342,5,High,6.375,3.00260304,x54,Control,11
1351,5,High,7.25,0.75,x54,Control,12
108,9,Low,-4.125,0.5153882,x32,Control,7
112,9,Low,-7.375,0.9437293,x32,Control,8
123,9,Low,-5.375,0.80039053,x32,Control,9
135,9,Low,-7.625,0.6731456,x32,Control,10
147,9,Low,-7.125,1.17924764,x32,Control,11
156,9,Low,-5.125,0.71807033,x32,Control,12
105,9,High,13.0,0.0,x32,Control,7
119,9,High,13.0,0.0,x32,Control,8
126,9,High,13.0,0.0,x32,Control,9
138,9,High,13.0,0.0,x32,Control,10
145,9,High,-1.375,1.82431494,x32,Control,11
151,9,High,13.0,0.0,x32,Control,12
228,9,Low,-4.125,2.85317805,x34,Control,7
237,9,Low,-9.625,0.71807033,x34,Control,8
250,9,Low,-6.5,0.70710678,x34,Control,9
257,9,Low,-7.375,0.9437293,x34,Control,10
267,9,Low,-7.0,1.78535711,x34,Control,11
278,9,Low,-11.0,0.70710678,x34,Control,12
225,9,High,13.0,0.0,x34,Control,7
234,9,High,13.0,0.0,x34,Control,8
248,9,High,4.875,2.13965535,x34,Control,9
259,9,High,1.125,2.09538183,x34,Control,10
266,9,High,13.0,0.0,x34,Control,11
271,9,High,13.0,0.0,x34,Control,12
346,9,Low,-9.25,1.93649167,x40,Control,7
354,9,Low,-13.0,0.96824584,x40,Control,8
365,9,Low,-8.25,0.8291562,x40,Control,9
378,9,Low,-11.25,1.60078106,x40,Control,10
390,9,Low,-8.375,0.80039053,x40,Control,11
400,9,Low,-10.375,1.97246673,x40,Control,12
348,9,High,5.125,1.17924764,x40,Control,7
360,9,High,7.25,1.22474487,x40,Control,8
367,9,High,9.29166667,0.56672794,x40,Control,9
379,9,High,-0.375,1.17924764,x40,Control,10
386,9,High,13.0,0.0,x40,Control,11
391,9,High,13.0,0.0,x40,Control,12
461,9,Low,-10.75,0.61237244,x45,Control,7
475,9,Low,-10.0,1.06066017,x45,Control,8
485,9,Low,-11.875,1.66301684,x45,Control,9
493,9,Low,-6.875,1.00778222,x45,Control,10
509,9,Low,-6.125,1.00778222,x45,Control,11
517,9,Low,-8.125,1.28086885,x45,Control,12
470,9,High,13.0,0.0,x45,Control,7
474,9,High,13.0,0.0,x45,Control,8
481,9,High,13.0,0.0,x45,Control,9
492,9,High,13.0,0.0,x45,Control,10
504,9,High,13.0,0.0,x45,Control,11
519,9,High,4.45833333,5.81201462,x45,Control,12
589,9,Low,-6.5,1.27475488,x46,Control,7
595,9,Low,-6.75,0.70710678,x46,Control,8
609,9,Low,-7.25,1.3462912,x46,Control,9
615,9,Low,-5.0,1.82002747,x46,Control,10
622,9,Low,-6.375,0.91001374,x46,Control,11
634,9,Low,-2.75,0.93541435,x46,Control,12
584,9,High,2.75,3.26917421,x46,Control,7
594,9,High,5.25,2.23606798,x46,Control,8
602,9,High,13.0,0.0,x46,Control,9
612,9,High,13.0,0.0,x46,Control,10
