Column1,n_comp,freq,threshold,sd,subj,task,order
179,9,Low,2.375,1.125,x32,Control,2
180,9,High,13.0,0.0,x32,Control,2
181,9,High,13.0,0.0,x33,Control,1
182,9,Low,1.0,1.41421356,x33,Control,1
183,9,High,13.0,0.0,x33,Control,1
184,9,Low,3.5,1.5612495,x33,Control,1
185,9,Low,0.375,2.18303115,x33,Control,1
186,9,High,13.0,0.0,x33,Control,1
187,9,High,3.0,2.6925824,x33,Control,1
188,9,Low,8.875,0.71807033,x33,Control,1
189,9,Low,-3.25,1.62018517,x33,Control,1
190,9,High,5.25,1.3462912,x33,Control,1
191,9,Low,3.25,1.6583124,x33,Control,1
192,9,High,13.0,0.0,x33,Control,1
193,9,High,13.0,0.0,x34,Control,1
194,9,Low,1.375,1.70018381,x34,Control,1
195,9,Low,0.0,1.19895788,x34,Control,1
196,9,High,13.0,0.0,x34,Control,1
197,9,Low,2.125,0.80039053,x34,Control,1
198,9,High,13.0,0.0,x34,Control,1
199,9,High,13.0,0.0,x34,Control,1
200,9,Low,-0.25,3.92109679,x34,Control,1
201,9,Low,0.75,0.55901699,x34,Control,1
202,9,High,2.375,2.23955911,x34,Control,1
203,9,Low,-5.75,1.6583124,x34,Control,1
204,9,High,6.125,1.66301684,x34,Control,1
205,9,High,2.125,1.58607219,x35,Control,1
206,9,Low,2.375,0.71807033,x35,Control,1
207,9,High,0.75,2.58602011,x35,Control,1
208,9,Low,-2.75,1.3462912,x35,Control,1
209,9,High,3.0,0.8291562,x35,Control,1
210,9,Low,-1.25,1.82002747,x35,Control,1
211,9,Low,-4.625,0.5153882,x35,Control,1
212,9,High,-3.125,0.80039053,x35,Control,1
213,9,High,-3.5,0.93541435,x35,Control,1
214,9,Low,-0.5,1.03077641,x35,Control,1
215,9,High,1.0,1.11803399,x35,Control,1
216,9,Low,-2.375,1.09687055,x35,Control,1
217,9,High,-1.25,4.89259645,x37,Control,2
218,9,Low,-6.0,2.62202212,x37,Control,2
219,9,Low,-7.125,0.6731456,x37,Control,2
220,9,High,2.75,3.57071421,x37,Control,2
221,9,Low,-3.875,1.90804219,x37,Control,2
222,9,High,13.0,0.0,x37,Control,2
223,9,Low,2.75,1.67705098,x37,Control,2
224,9,High,13.0,0.0,x37,Control,2
225,9,High,13.0,0.0,x37,Control,2
226,9,Low,6.125,0.9437293,x37,Control,2
227,9,Low,-1.5,0.70710678,x37,Control,2
228,9,High,13.0,0.0,x37,Control,2
229,9,Low,0.375,1.09687055,x38,Control,1
230,9,High,6.375,2.00390244,x38,Control,1
231,9,Low,-2.5,1.06066017,x38,Control,1
232,9,High,2.5,1.3462912,x38,Control,1
233,9,Low,3.125,1.125,x38,Control,1
234,9,High,1.875,1.25623445,x38,Control,1
235,9,Low,-3.125,1.17924764,x38,Control,1
236,9,High,-2.875,1.875,x38,Control,1
237,9,Low,-2.125,0.71807033,x38,Control,1
238,9,High,0.0,1.6583124,x38,Control,1
239,9,Low,-2.625,0.80039053,x38,Control,1
240,9,High,-3.375,1.17924764,x38,Control,1
241,9,Low,-5.75,1.03077641,x39,Control,1
242,9,High,13.0,0.0,x39,Control,1
243,9,Low,1.75,2.23606798,x39,Control,1
244,9,High,2.25,4.96865173,x39,Control,1
245,9,Low,-1.625,0.71807033,x39,Control,1
246,9,High,13.0,0.0,x39,Control,1
247,9,High,-1.75,2.07665597,x39,Control,1
248,9,Low,-0.75,0.55901699,x39,Control,1
249,9,High,4.75,4.69041576,x39,Control,1
250,9,Low,-3.5,3.69120577,x39,Control,1
251,9,Low,-2.75,2.54950976,x39,Control,1
252,9,High,9.375,0.6731456,x39,Control,1
253,9,Low,2.25,3.230712,x01,Task,2
254,9,High,13.0,0.0,x01,Task,2
255,9,High,13.0,0.0,x01,Task,2
256,9,Low,8.875,1.125,x01,Task,2
257,9,Low,5.375,0.71807033,x01,Task,2
258,9,High,13.0,0.0,x01,Task,2
259,9,High,13.0,0.0,x01,Task,2
260,9,Low,5.125,0.71807033,x01,Task,2
261,9,Low,-4.625,1.58607219,x01,Task,2
262,9,High,13.0,0.0,x01,Task,2
263,9,High,13.0,0.0,x01,Task,2
264,9,Low,-0.125,1.58607219,x01,Task,2
265,9,Low,0.875,2.9921773,x02,Task,1
266,9,High,13.0,0.0,x02,Task,1
267,9,Low,-2.25,0.70710678,x02,Task,1
268,9,High,-1.125,3.55536566,x02,Task,1
269,9,High,13.0,0.0,x02,Task,1
270,9,Low,-2.625,3.22344924,x02,Task,1
271,9,High,-2.625,2.57694102,x02,Task,1
272,9,Low,-7.125,0.80039053,x02,Task,1
273,9,High,13.0,0.0,x02,Task,1
274,9,Low,-6.125,0.80039053,x02,Task,1
275,9,High,13.0,0.0,x02,Task,1
276,9,Low,-7.0,1.36930639,x02,Task,1
277,9,Low,-10.75,2.0310096,x07,Task,2
278,9,High,13.0,0.0,x07,Task,2
279,9,Low,-8.875,1.28086885,x07,Task,2
280,9,High,13.0,0.0,x07,Task,2
281,9,High,13.0,0.0,x07,Task,2
282,9,Low,-10.25,1.11803399,x07,Task,2
283,9,High,13.0,0.0,x07,Task,2
284,9,Low,-9.25,2.44948974,x07,Task,2
285,9,Low,-10.125,1.70018381,x07,Task,2
286,9,High,13.0,0.0,x07,Task,2
287,9,Low,-8.125,0.71807033,x07,Task,2
288,9,High,13.0,0.0,x07,Task,2
289,9,Low,13.0,0.0,x09,Task,2
290,9,High,13.0,0.0,x09,Task,2
291,9,High,13.0,0.0,x09,Task,2
292,9,Low,13.0,0.0,x09,Task,2
293,9,Low,-6.875,0.5153882,x09,Task,2
294,9,High,13.0,0.0,x09,Task,2
295,9,High,13.0,0.0,x09,Task,2
296,9,Low,-6.375,0.5153882,x09,Task,2
297,9,Low,-7.25,0.55901699,x09,Task,2
298,9,High,13.0,0.0,x09,Task,2
299,9,High,1.0,4.73682383,x09,Task,2
300,9,Low,-8.5,0.75,x09,Task,2
301,9,High,13.0,0.0,x11,Task,2
302,9,Low,-2.5,1.19895788,x11,Task,2
303,9,High,13.0,0.0,x11,Task,2
304,9,Low,-2.125,1.41972709,x11,Task,2
305,9,High,13.0,0.0,x11,Task,2
306,9,Low,0.0,1.47901995,x11,Task,2
307,9,High,13.0,0.0,x11,Task,2
308,9,Low,-0.5,1.27475488,x11,Task,2
309,9,Low,0.25,0.55901699,x11,Task,2
310,9,High,13.0,0.0,x11,Task,2
311,9,High,13.0,0.0,x11,Task,2
312,9,Low,-4.625,0.5153882,x11,Task,2
313,9,High,-7.375,2.5890394,x14,Task,2
314,9,Low,13.0,0.0,x14,Task,2
315,9,High,13.0,0.0,x14,Task,2
316,9,Low,13.0,0.0,x14,Task,2
317,9,High,13.0,0.0,x14,Task,2
318,9,Low,13.0,0.0,x14,Task,2
319,9,High,9.54166667,0.48769583,x14,Task,2
320,9,Low,13.0,0.0,x14,Task,2
321,9,Low,13.0,0.0,x14,Task,2
322,9,High,13.0,0.0,x14,Task,2
323,9,Low,13.0,0.0,x14,Task,2
324,9,High,13.0,0.0,x14,Task,2
325,9,High,13.0,0.0,x15,Task,1
326,9,Low,13.0,0.0,x15,Task,1
327,9,High,9.625,0.375,x15,Task,1
328,9,Low,13.0,0.0,x15,Task,1
329,9,Low,1.625,0.375,x15,Task,1
330,9,High,-4.375,2.32177195,x15,Task,1
331,9,High,13.0,0.0,x15,Task,1
332,9,Low,13.0,0.0,x15,Task,1
333,9,Low,-4.5,1.5411035,x15,Task,1
334,9,High,13.0,0.0,x15,Task,1
335,9,Low,3.875,1.28086885,x15,Task,1
336,9,High,13.0,0.0,x15,Task,1
337,9,High,13.0,0.0,x16,Task,1
338,9,Low,4.375,1.00778222,x16,Task,1
339,9,Low,5.25,1.3462912,x16,Task,1
340,9,High,13.0,0.0,x16,Task,1
341,9,Low,1.75,1.19895788,x16,Task,1
342,9,High,13.0,0.0,x16,Task,1
343,9,High,13.0,0.0,x16,Task,1
344,9,Low,4.75,0.8291562,x16,Task,1
345,9,Low,5.125,1.25623445,x16,Task,1
346,9,High,13.0,0.0,x16,Task,1
347,9,Low,1.875,2.09538183,x16,Task,1
348,9,High,13.0,0.0,x16,Task,1
349,9,High,1.75,3.37268439,x17,Task,1
350,9,Low,0.875,2.625,x17,Task,1
351,9,Low,3.125,1.28086885,x17,Task,1
352,9,High,13.0,0.0,x17,Task,1
353,9,High,13.0,0.0,x17,Task,1
354,9,Low,-2.125,2.15421099,x17,Task,1
355,9,Low,-6.625,0.71807033,x17,Task,1
356,9,High,13.0,0.0,x17,Task,1
357,9,High,13.0,0.0,x17,Task,1
358,9,Low,-4.875,0.5153882,x17,Task,1
359,9,Low,-3.875,1.46308749,x17,Task,1
360,9,High,13.0,0.0,x17,Task,1
385,9,Low,13.0,0.0,x25,Task,2
386,9,High,13.0,0.0,x25,Task,2
387,9,Low,13.0,0.0,x25,Task,2
388,9,High,2.375,3.64220057,x25,Task,2
389,9,High,13.0,0.0,x25,Task,2
390,9,Low,13.0,0.0,x25,Task,2
391,9,High,13.0,0.0,x25,Task,2
392,9,Low,9.0,0.93541435,x25,Task,2
393,9,Low,13.0,0.0,x25,Task,2
394,9,High,13.0,0.0,x25,Task,2
395,9,Low,13.0,0.0,x25,Task,2
396,9,High,13.0,0.0,x25,Task,2
397,9,Low,13.0,0.0,x28,Task,1
398,9,High,13.0,0.0,x28,Task,1
399,9,High,13.0,0.0,x28,Task,1
400,9,Low,-4.625,0.5153882,x28,Task,1
401,9,High,13.0,0.0,x28,Task,1
402,9,Low,-4.75,0.96824584,x28,Task,1
403,9,Low,-5.375,0.80039053,x28,Task,1
404,9,High,2.875,4.69208109,x28,Task,1
405,9,Low,-7.375,0.375,x28,Task,1
406,9,High,7.75,0.55901699,x28,Task,1
407,9,High,13.0,0.0,x28,Task,1
408,9,Low,-6.875,2.00390244,x28,Task,1
409,9,Low,13.0,0.0,x29,Task,2
410,9,High,13.0,0.0,x29,Task,2
411,9,Low,13.0,0.0,x29,Task,2
412,9,High,13.0,0.0,x29,Task,2
413,9,Low,6.625,0.80039053,x29,Task,2
414,9,High,13.0,0.0,x29,Task,2
415,9,Low,-0.5,2.35849528,x29,Task,2
416,9,High,13.0,0.0,x29,Task,2
417,9,Low,-4.25,2.65753645,x29,Task,2
418,9,High,13.0,0.0,x29,Task,2
419,9,Low,-0.75,1.47901995,x29,Task,2
420,9,High,13.0,0.0,x29,Task,2
421,9,Low,13.0,0.0,x32,Task,2
422,9,High,13.0,0.0,x32,Task,2
423,9,High,13.0,0.0,x32,Task,2
424,9,Low,13.0,0.0,x32,Task,2
425,9,High,13.0,0.0,x32,Task,2
426,9,Low,13.0,0.0,x32,Task,2
427,9,High,13.0,0.0,x32,Task,2
428,9,Low,9.625,0.375,x32,Task,2
429,9,Low,13.0,0.0,x32,Task,2
430,9,High,9.125,0.9437293,x32,Task,2
431,9,Low,4.375,5.39820572,x32,Task,2
432,9,High,13.0,0.0,x32,Task,2
433,9,Low,13.0,0.0,x33,Task,1
434,9,High,13.0,0.0,x33,Task,1
435,9,High,13.0,0.0,x33,Task,1
436,9,Low,13.0,0.0,x33,Task,1
437,9,Low,13.0,0.0,x33,Task,1
438,9,High,13.0,0.0,x33,Task,1
439,9,High,13.0,0.0,x33,Task,1
440,9,Low,13.0,0.0,x33,Task,1
